plume_id,lat,lon,plume_time,S5p_path,s5p_minus90_path,s5p_minus360_path,proc_0,proc_90,proc_360,need_offsets,in_triplet
GAO20191022t174258p0000-A,32.624831,-103.54528,2019-10-22T17:42:58+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191021T184207_20191021T202337_10476_01_010302_20191027T211541.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190723T183750_20190723T201919_09199_01_010302_20190729T204514.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,OFFL,RPRO,360,False
GAO20191022t175740p0000-A,32.768708,-103.37484,2019-10-22T17:57:40+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191021T184207_20191021T202337_10476_01_010302_20191027T211541.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190723T183750_20190723T201919_09199_01_010302_20190729T204514.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,OFFL,RPRO,360,False
GAO20191022t185651p0000-A,32.7944121,-103.50246,2019-10-22T18:56:51+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191021T184207_20191021T202337_10476_01_010302_20191027T211541.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190724T181845_20190724T200014_09213_03_020400_20221112T090154.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191022t185651p0000-E,32.803377,-103.46283,2019-10-22T18:56:51+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T181845_20190724T200014_09213_01_010302_20190730T200746.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181026T193150_20181026T211518_05369_01_010301_20190517T100427.nc,OFFL,OFFL,RPRO,360,False
GAO20191023t164940p0000-F,31.746402,-103.39872,2019-10-23T16:49:40+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T200014_20190724T214144_09214_01_010302_20190730T212234.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181027T191242_20181027T205610_05383_01_010301_20190520T161744.nc,OFFL,OFFL,RPRO,360,False
GAO20191023t164940p0000-G,31.736991,-103.42558,2019-10-23T16:49:40+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190724T200014_20190724T214144_09214_03_020400_20221112T090157.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181027T191242_20181027T205610_05383_01_010301_20190520T161744.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191023t174556p0000-A,31.658091,-103.40015,2019-10-23T17:45:56+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190724T200014_20190724T214144_09214_03_020400_20221112T090157.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181027T191242_20181027T205610_05383_01_010301_20190520T161744.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191023t180055p0000-E,31.68086,-103.33074,2019-10-23T18:00:55+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190724T200014_20190724T214144_09214_03_020400_20221112T090157.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181027T191242_20181027T205610_05383_01_010301_20190520T161744.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191023t190806p0000-A,31.562734,-103.31468,2019-10-23T19:08:06+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T200014_20190724T214144_09214_01_010302_20190730T212234.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181027T191242_20181027T205610_05383_01_010301_20190520T161744.nc,OFFL,OFFL,RPRO,360,False
GAO20191023t192246p0000-D,31.557407,-103.29039,2019-10-23T19:22:46+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191022T182259_20191022T200428_10490_01_010302_20191028T205000.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190724T200014_20190724T214144_09214_01_010302_20190730T212234.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181028T185433_20181028T203603_05397_03_020400_20221115T145627.nc,OFFL,OFFL,RPRO,360,False
GAO20191025t152235p0000-A,31.351118,-103.65935,2019-10-25T15:22:35+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191025T190704_20191025T204834_10533_01_010302_20191031T213129.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190726T192204_20190726T210334_09242_01_010302_20190801T205944.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181029T183426_20181029T201754_05411_01_010301_20190517T221903.nc,OFFL,OFFL,RPRO,360,False
GAO20191025t152235p0000-C,31.508069,-103.35846,2019-10-25T15:22:35+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191025T190704_20191025T204834_10533_01_010302_20191031T213129.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190726T192204_20190726T210334_09242_03_020400_20221112T100526.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181029T183426_20181029T201754_05411_01_010301_20190517T221903.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191025t152235p0000-E,31.53783,-103.30525,2019-10-25T15:22:35+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191025T190704_20191025T204834_10533_01_010302_20191031T213129.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190726T192204_20190726T210334_09242_03_020400_20221112T100526.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181029T183426_20181029T201754_05411_01_010301_20190517T221903.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191025t152235p0000-F,31.540129,-103.30821,2019-10-25T15:22:35+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191025T190704_20191025T204834_10533_01_010302_20191031T213129.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190726T192204_20190726T210334_09242_01_010302_20190801T205944.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181029T183426_20181029T201754_05411_01_010301_20190517T221903.nc,OFFL,OFFL,RPRO,360,False
GAO20191025t152235p0000-G,31.557163,-103.29037,2019-10-25T15:22:35+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191025T190704_20191025T204834_10533_01_010302_20191031T213129.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190726T192204_20190726T210334_09242_03_020400_20221112T100526.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181029T183426_20181029T201754_05411_01_010301_20190517T221903.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191025t152235p0000-J,31.349107,-103.66035,2019-10-25T15:22:35+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191025T190704_20191025T204834_10533_01_010302_20191031T213129.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190726T192204_20190726T210334_09242_03_020400_20221112T100526.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181029T183426_20181029T201754_05411_01_010301_20190517T221903.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191025t155037p0000-D,31.452099,-103.35711,2019-10-25T15:50:37+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191025T190704_20191025T204834_10533_01_010302_20191031T213129.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20190726T192204_20190726T210334_09242_03_020400_20221112T100526.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181029T183426_20181029T201754_05411_01_010301_20190517T221903.nc,OFFL,RPRO,RPRO,90;360,False
GAO20191025t161614p0000-A,31.400389,-103.42707,2019-10-25T16:16:14+00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20191025T190704_20191025T204834_10533_01_010302_20191031T213129.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20190726T192204_20190726T210334_09242_01_010302_20190801T205944.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_RPRO_L2__CH4____20181029T183426_20181029T201754_05411_01_010301_20190517T221903.nc,OFFL,OFFL,RPRO,360,False
