plume_id,plume_time,lat,lon,s5p_minus360_path,s5p_minus90_path,S5p_path,proc_0,proc_90,proc_360,nearest_iy,nearest_ix,pos_centers,ch4_var
GAO20230622t193326p0000-C,2023-06-22T19:33:26+00,36.31997430672297,-119.5156440364416,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220626T193610_20220626T211740_24366_02_020301_20220628T113950.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230323T200946_20230323T215117_28197_03_020500_20230325T121540.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230621T202943_20230621T221113_29474_03_020500_20230623T123005.nc,OFFL,OFFL,OFFL,2254,160,"2254,160;2253,160;2254,159;2254,161;2255,160;2253,159;2253,161;2255,159",methane_mixing_ratio_bias_corrected
GAO20230722t171819p0000-C,2023-07-22T17:18:19+00,45.80818137823172,-120.16734310991298,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230721T192441_20230721T210611_29899_03_020500_20230723T211021.nc,OFFL,OFFL,OFFL,2576,35,"2576,35;2575,35;2576,34;2576,36;2577,35;2575,34;2575,36;2577,34",methane_mixing_ratio_bias_corrected
GAO20230722t171819p0000-D,2023-07-22T17:18:19+00,45.808339987360654,-120.16769153129394,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230721T192441_20230721T210611_29899_03_020500_20230723T211021.nc,OFFL,OFFL,OFFL,2576,35,"2576,35;2575,35;2576,34;2576,36;2577,35;2575,34;2575,36;2577,34",methane_mixing_ratio_bias_corrected
GAO20230722t173039p0000-B,2023-07-22T17:30:39+00,45.70991948867234,-119.90221326544032,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230721T192441_20230721T210611_29899_03_020500_20230723T211021.nc,OFFL,OFFL,OFFL,2572,36,"2572,36;2571,36;2572,35;2572,37;2573,36;2571,35;2571,37;2573,35",methane_mixing_ratio_bias_corrected
GAO20230722t175224p0000-A,2023-07-22T17:52:24+00,45.707788280758905,-119.8983957723797,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230721T192441_20230721T210611_29899_03_020500_20230723T211021.nc,OFFL,OFFL,OFFL,2572,36,"2572,36;2571,36;2572,35;2572,37;2573,36;2571,35;2571,37;2573,35",methane_mixing_ratio_bias_corrected
GAO20230722t180159p0000-B,2023-07-22T18:01:59+00,45.80819606626878,-120.16733477572012,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230721T192441_20230721T210611_29899_03_020500_20230723T211021.nc,OFFL,OFFL,OFFL,2576,35,"2576,35;2575,35;2576,34;2576,36;2577,35;2575,34;2575,36;2577,34",methane_mixing_ratio_bias_corrected
GAO20230722t180159p0000-C,2023-07-22T18:01:59+00,45.80835020112872,-120.1675100623202,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230721T192441_20230721T210611_29899_03_020500_20230723T211021.nc,OFFL,OFFL,OFFL,2576,35,"2576,35;2575,35;2576,34;2576,36;2577,35;2575,34;2575,36;2577,34",methane_mixing_ratio_bias_corrected
GAO20230722t195554p0000-A,2023-07-22T19:55:54+00,43.18833033340027,-123.38229642854128,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230722T204704_20230722T222833_29914_03_020500_20230724T125309.nc,OFFL,OFFL,OFFL,2465,179,"2466,179",methane_mixing_ratio_bias_corrected
GAO20230722t200059p0000-A,2023-07-22T20:00:59+00,43.18869817942752,-123.38286996820446,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230722T204704_20230722T222833_29914_03_020500_20230724T125309.nc,OFFL,OFFL,OFFL,2465,179,"2466,179",methane_mixing_ratio_bias_corrected
GAO20230722t201544p0000-A,2023-07-22T20:15:44+00,43.95830560210757,-123.00051223906004,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220726T201315_20220726T215444_24792_03_020400_20220728T154247.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230422T205213_20230422T223343_28623_03_020500_20230424T130148.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230722T204704_20230722T222833_29914_03_020500_20230724T125309.nc,OFFL,OFFL,OFFL,2481,183,"2481,183;2481,182;2482,183;2480,182;2482,182",methane_mixing_ratio_bias_corrected
GAO20230831t173640p0000-A,2023-08-31T17:36:40+00,43.8713755659106,-105.36514384096138,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220904T191912_20220904T210041_25359_03_020400_20220906T112533.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230601T200421_20230601T214551_29190_03_020500_20230603T135013.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230830T182929_20230830T201059_30466_03_020500_20230905T103535.nc,OFFL,OFFL,OFFL,2758,40,"2758,40;2757,40;2758,39;2758,41;2759,40;2757,39;2757,41;2759,39",methane_mixing_ratio_bias_corrected
GAO20230831t194144p0000-A,2023-08-31T19:41:44+00,43.53985196150845,-105.1703031882246,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220905T190004_20220905T204133_25373_03_020400_20220907T110457.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230602T180350_20230602T194520_29203_03_020500_20230604T101549.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230830T182929_20230830T201059_30466_03_020500_20230905T103535.nc,OFFL,OFFL,OFFL,2751,40,"2751,40;2750,40;2751,39;2751,41;2752,40;2750,39;2750,41;2752,39",methane_mixing_ratio_bias_corrected
GAO20230831t194144p0000-B,2023-08-31T19:41:44+00,43.52459798970992,-105.17945724754712,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220905T190004_20220905T204133_25373_03_020400_20220907T110457.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230602T180350_20230602T194520_29203_03_020500_20230604T101549.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230831T195152_20230831T213322_30481_03_020500_20230902T115715.nc,OFFL,OFFL,OFFL,2705,205,"2705,205;2704,205;2705,204;2705,206;2706,205;2704,204;2704,206;2706,204",methane_mixing_ratio_bias_corrected
GAO20230831t194144p0000-C,2023-08-31T19:41:44+00,43.48182757576637,-105.17994441700822,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220905T190004_20220905T204133_25373_03_020400_20220907T110457.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230602T180350_20230602T194520_29203_03_020500_20230604T101549.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230831T195152_20230831T213322_30481_03_020500_20230902T115715.nc,OFFL,OFFL,OFFL,2704,205,"2704,205;2703,205;2704,204;2704,206;2705,205;2703,204;2703,206;2705,204",methane_mixing_ratio_bias_corrected
GAO20230831t205444p0000-A,2023-08-31T20:54:44+00,43.81398823328741,-105.35636465065323,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220905T190004_20220905T204133_25373_03_020400_20220907T110457.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230602T194520_20230602T212650_29204_03_020500_20230604T115407.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230831T181022_20230831T195152_30480_03_020500_20230902T101833.nc,OFFL,OFFL,OFFL,2800,16,"2800,16;2799,16;2800,15;2800,17;2801,16;2799,15;2799,17;2801,15",methane_mixing_ratio_bias_corrected
GAO20230831t210409p0000-A,2023-08-31T21:04:09+00,43.76632718219744,-105.36602011631716,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220905T190004_20220905T204133_25373_03_020400_20220907T110457.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230602T194520_20230602T212650_29204_03_020500_20230604T115407.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230831T181022_20230831T195152_30480_03_020500_20230902T101833.nc,OFFL,OFFL,OFFL,2799,16,"2799,16;2798,16;2799,15;2799,17;2800,16;2798,15;2798,17;2800,15",methane_mixing_ratio_bias_corrected
GAO20230831t210409p0000-B,2023-08-31T21:04:09+00,43.79507677710888,-105.36575733475352,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220905T190004_20220905T204133_25373_03_020400_20220907T110457.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230602T194520_20230602T212650_29204_03_020500_20230604T115407.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230831T181022_20230831T195152_30480_03_020500_20230902T101833.nc,OFFL,OFFL,OFFL,2799,16,"2799,16;2798,16;2799,15;2799,17;2800,16;2798,15;2798,17;2800,15",methane_mixing_ratio_bias_corrected
GAO20230906t175721p0000-A,2023-09-06T17:57:21+00,41.59751970238713,-107.86792766086587,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220910T190553_20220910T204722_25444_03_020400_20220912T111038.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230607T195145_20230607T213315_29275_03_020500_20230609T184722.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230906T193840_20230906T212010_30566_03_020500_20230908T115241.nc,OFFL,OFFL,OFFL,2710,173,"2710,173;2709,173;2710,172;2710,174;2711,173;2709,172;2709,174;2711,172",methane_mixing_ratio_bias_corrected
GAO20230906t180335p0000-A,2023-09-06T18:03:35+00,41.60426941459474,-107.8680190982075,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220910T190553_20220910T204722_25444_03_020400_20220912T111038.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230607T195145_20230607T213315_29275_03_020500_20230609T184722.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230906T193840_20230906T212010_30566_03_020500_20230908T115241.nc,OFFL,OFFL,OFFL,2710,173,"2710,173;2709,173;2710,172;2710,174;2711,173;2709,172;2709,174;2711,172",methane_mixing_ratio_bias_corrected
GAO20230906t180335p0000-B,2023-09-06T18:03:35+00,41.59758062179685,-107.86792033818172,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220910T190553_20220910T204722_25444_03_020400_20220912T111038.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230607T195145_20230607T213315_29275_03_020500_20230609T184722.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230906T193840_20230906T212010_30566_03_020500_20230908T115241.nc,OFFL,OFFL,OFFL,2710,173,"2710,173;2709,173;2710,172;2710,174;2711,173;2709,172;2709,174;2711,172",methane_mixing_ratio_bias_corrected
GAO20230906t180335p0000-C,2023-09-06T18:03:35+00,41.55132367432989,-107.87100244259896,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220910T190553_20220910T204722_25444_03_020400_20220912T111038.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230607T195145_20230607T213315_29275_03_020500_20230609T184722.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230906T193840_20230906T212010_30566_03_020500_20230908T115241.nc,OFFL,OFFL,OFFL,2709,173,"2709,173;2708,173;2709,172;2709,174;2710,173;2708,172;2708,174;2710,172",methane_mixing_ratio_bias_corrected
GAO20230906t180335p0000-D,2023-09-06T18:03:35+00,41.62945905332566,-107.88383579090686,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220910T190553_20220910T204722_25444_03_020400_20220912T111038.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230607T195145_20230607T213315_29275_03_020500_20230609T184722.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230906T193840_20230906T212010_30566_03_020500_20230908T115241.nc,OFFL,OFFL,OFFL,2711,173,"2711,173;2710,173;2711,172;2711,174;2712,173;2710,172;2710,174;2712,172",methane_mixing_ratio_bias_corrected
GAO20230906t180920p0000-A,2023-09-06T18:09:20+00,41.629398651985696,-107.88395882295534,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20220910T190553_20220910T204722_25444_03_020400_20220912T111038.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p_90360/S5P_OFFL_L2__CH4____20230607T195145_20230607T213315_29275_03_020500_20230609T184722.nc,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s5p/S5P_OFFL_L2__CH4____20230906T193840_20230906T212010_30566_03_020500_20230908T115241.nc,OFFL,OFFL,OFFL,2711,173,"2711,173;2710,173;2711,172;2711,174;2712,173;2710,172;2710,174;2712,172",methane_mixing_ratio_bias_corrected
