plume_id,latitude,longitude,datetime,has_s2,has_l89,has_emit,has_s5p,s2_0_std_512,s2_-90_std_512,s2_-360_std_512,s2_plume_mask_512_path,l89_0_std_512,l89_-90_std_512,l89_-360_std_512,l89_mask_512_path,emit_0_simulated_512_path,emit_-90_simulated_512_path,emit_-180_simulated_512_path,S5p_path,s5p_minus90_path,s5p_minus360_path,nearest_iy,nearest_ix,pos_centers
GAO20191020t163829p0000-C,31.826375,-102.10681,2019-10-20T16:38:29+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-C/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-C/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t163829p0000-C/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t163829p0000-D,31.826343,-102.11335,2019-10-20T16:38:29+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-D/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t163829p0000-D/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t163829p0000-D/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t165717p0000-A,31.8592427,-101.72182,2019-10-20T16:57:17+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t165717p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t165717p0000-B,31.845123,-101.77195,2019-10-20T16:57:17+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t165717p0000-B/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t165717p0000-C,31.8720702,-101.6337,2019-10-20T16:57:17+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-C/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-C/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t165717p0000-C/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t165717p0000-D,31.8394815,-102.14006,2019-10-20T16:57:17+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-D/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-D/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t165717p0000-D/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t165717p0000-E,31.8439625,-102.03459,2019-10-20T16:57:17+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-E/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-E/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-E/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t165717p0000-E/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t165717p0000-F,31.846346,-102.01765,2019-10-20T16:57:17+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-F/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-F/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t165717p0000-F/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t165717p0000-F/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t171158p0000-A,31.8803317,-101.34136,2019-10-20T17:11:58+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t171158p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t171158p0000-B,31.872175,-101.63379,2019-10-20T17:11:58+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t171158p0000-B/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t171158p0000-C,31.8746025,-102.21967,2019-10-20T17:11:58+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-C/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-C/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t171158p0000-C/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t171158p0000-D,31.889034,-101.86825,2019-10-20T17:11:58+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-D/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-D/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t171158p0000-D/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t171158p0000-E,31.88306,-101.89235,2019-10-20T17:11:58+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-E/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-E/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-E/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t171158p0000-E/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t171158p0000-F,31.8836443,-101.85904,2019-10-20T17:11:58+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-F/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-F/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t171158p0000-F/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t171158p0000-F/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t173137p0000-A,31.8798551,-102.22978,2019-10-20T17:31:37+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t173137p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t173137p0000-B,31.8960302,-102.20685,2019-10-20T17:31:37+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t173137p0000-B/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t173137p0000-C,31.889032,-101.86811,2019-10-20T17:31:37+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-C/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-C/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-C/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t173137p0000-C/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t173137p0000-D,31.9030824,-101.87236,2019-10-20T17:31:37+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-D/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-D/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-D/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t173137p0000-D/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t173137p0000-E,31.8925063,-101.74218,2019-10-20T17:31:37+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-E/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-E/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-E/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t173137p0000-E/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t173137p0000-F,31.9054338,-101.73374,2019-10-20T17:31:37+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-F/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-F/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t173137p0000-F/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t173137p0000-F/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t174612p0000-A,31.922872,-101.75699,2019-10-20T17:46:12+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t174612p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t174612p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t174612p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t174612p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t180552p0000-A,31.9267689,-101.87865,2019-10-20T18:05:52+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t180552p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t180552p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t180552p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t180552p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t182037p0000-A,31.950273,-102.18525,2019-10-20T18:20:37+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t182037p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t182037p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t182037p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t182037p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t182037p0000-B,31.9586336,-102.16445,2019-10-20T18:20:37+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t182037p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t182037p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t182037p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t182037p0000-B/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t184019p0000-A,31.982263,-101.78316,2019-10-20T18:40:19+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t184019p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t184019p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t184019p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t184019p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t184019p0000-B,31.9901784,-101.87683,2019-10-20T18:40:19+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t184019p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t184019p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t184019p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t184019p0000-B/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t185458p0000-A,31.999417,-101.99285,2019-10-20T18:54:58+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t185458p0000-A/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t185458p0000-A/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t185458p0000-A/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t185458p0000-A/resized_512x512.tif,,,,,,,,,,,,,
GAO20191020t185458p0000-B,31.9992103,-101.92766,2019-10-20T18:54:58+00,True,False,False,False,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t185458p0000-B/s2_0_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t185458p0000-B/s2_-90_std_512.tif,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_-790360_512/GAO20191020t185458p0000-B/s2_-360_std_512.tif,/data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20191020t185458p0000-B/resized_512x512.tif,,,,,,,,,,,,,
